CompanyCode,EPS,ROA,Dbequrt,year
1082,0.047,1.0465,84.3425,2015
1082,-0.08,-0.6005,197.1144,2016
1082,0.041,0.3851,188.3908,2017
1082,0.089,0.1875,169.7851,2018
1083,-0.19,-6.1434,194.0971,2009
1083,0.01,-0.4078,172.8014,2010
1083,0.42,4.64,126.4404,2011
1083,0.19,2.721,170.0441,2012
1083,0.19,3.0508,166.6412,2013
1083,0.1595,1.2206,110.1841,2014
1083,0.17,3.2332,138.3252,2015
1083,0.27,4.7566,200.6707,2016
1083,0.3,4.0765,162.9281,2017
1083,0.33,3.4054,152.4207,2018
1085,0.0157,0.2384,161.4907,2009
1085,0.2541,2.6246,140.2511,2010
1085,0.22,2.2567,120.745,2011
1085,-0.16,-1.7278,132.9458,2012
1085,-0.49,-4.853,167.9395,2013
1085,0.09,0.9882,106.9277,2014
1085,0.09,0.8638,92.251,2015
1085,0.89,7.3434,109.4324,2016
1085,0.55,6.16,95.1703,2017
1085,0.51,5.2714,72.3973,2018
1086,0.02,1.6173,189.7687,2009
1086,-0.06,-8.3731,250.6188,2010
1086,-0.06,-6.6051,324.6692,2011
1086,0.1,-1.8679,217.8147,2012
1086,0.14,9.6516,214.2665,2013
1086,-0.03,-2.2205,422.398,2014
1086,0.45,12.1186,44.1614,2015
1086,0.37,10.5318,23.8662,2016
1086,0.451,10.9181,42.9091,2017
1086,0.45,8.6787,55.1673,2018
1087,-0.1645,-6.4027,75.7161,2009
1087,0.07,2.3689,29.2784,2010
1087,0.78,5.71,429.175,2011
1087,0.36,3.7349,347.0078,2012
1087,0.34,3.314,330.2483,2013
1087,0.03,0.4363,262.006,2014
1087,0.06,0.5986,259.9904,2015
1087,-0.15,-1.6021,161.3763,2016
1087,0.12,1.1604,368.282,2017
1087,0.31,1.9169,471.0676,2018
1088,0.092,1.206,260.9465,2009
1088,0.074,1.2383,280.674,2010
1088,0.077,1.0468,288.8511,2011
1088,0.042,0.7835,226.3166,2012
1088,0.036,0.9089,169.942,2013
1088,0.034,0.8075,178.8848,2014
1088,0.027,0.5891,245.7568,2015
1088,0.091,1.0476,284.3274,2016
1088,0.09,1.1409,311.361,2017
1088,0.03,0.9687,354.1413,2018
1089,0.48,8.5536,69.8853,2009
1089,0.46,8.0699,97.3515,2010
1089,0.62,8.2569,114.3686,2011
1089,0.82,8.0296,139.3495,2012
1089,0.83,6.8447,106.5501,2013
1089,0.85,5.8126,136.3442,2014
1089,0.52,5.6283,113.8178,2015
1089,0.63,4.846,143.8577,2016
1089,1.53,7.4983,139.0101,2017
1089,-1.81,-5.5377,195.1725,2018
1090,-0.0478,-1.0665,99.2963,2009
1090,0.1099,2.3828,97.268,2010
1090,0.5423,13.2636,16.4407,2011
1090,0.145,3.9918,16.8509,2012
1090,0.1493,3.9229,18.7307,2013
1090,0.1014,2.4315,24.1773,2014
1090,0.0832,2.0403,20.2961,2015
1090,0.0894,2.0583,34.517,2016
1090,0.1751,3.759,26.9251,2017
1090,0.1076,2.1737,11.4815,2018
1091,0.0968,3.5407,237.2667,2009
1091,0.5226,14.711,194.7517,2010
1091,0.4386,9.3494,190.8372,2011
1091,0.309,7.7717,130.7058,2012
1091,0.5457,10.2476,183.2017,2013
1091,0.6472,11.0915,282.9238,2014
1091,0.4884,6.5741,256.7964,2015
1091,0.3721,5.1701,267.3983,2016
1091,0.4441,5.454,290.4935,2017
1091,0.4685,5.0948,307.8418,2018
1092,0.14,2.9788,64.456,2009
1092,0.1,2.3362,75.9797,2010
1092,0.13,2.7181,85.2305,2011
1092,0.07,1.4598,67.5256,2012
1092,0.06,1.3672,83.8718,2013
1092,0.0631,1.2412,96.5511,2014
1092,0.0161,0.2967,103.1397,2015
1092,-0.127,-2.3549,103.3153,2016
1092,0.0221,0.4082,112.7942,2017
1092,0.0227,0.4114,108.3807,2018
1095,0.548,8.1984,33.2414,2009
1095,0.659,9.0494,38.9318,2010
1095,0.336,10.2136,72.446,2011
1095,0.438,10.338,102.1291,2012
1095,0.503,9.8861,81.1981,2013
1095,0.582,10.0888,77.9172,2014
1095,0.645,10.7386,48.7428,2015
1095,0.68,9.9502,63.9212,2016
1095,0.742,9.7389,65.8266,2017
1095,0.827,9.302,64.2298,2018
1096,0.0345,1.3412,274.1293,2009
1096,0.1631,3.618,469.2124,2010
1096,0.2222,2.7248,449.4959,2011
1096,0.455,3.9609,570.7115,2012
1096,0.4461,3.1094,479.7362,2013
1096,0.2802,1.7378,515.6327,2014
1096,0.2308,3.8164,246.663,2015
1096,0.1858,2.6475,210.4436,2016
1096,0.1712,2.1128,289.6404,2017
1096,-1.2729,-14.3227,669.1903,2018
1098,0.484,7.7979,50.4059,2009
1098,0.241,5.307,69.5604,2010
1098,0.221,3.7479,120.9117,2011
1098,0.136,2.3239,73.3834,2012
1098,0.204,4.2896,35.2485,2013
1098,0.159,3.692,28.6561,2014
1098,0.08,1.9193,24.0451,2015
1098,-0.376,-9.1167,29.7927,2016
1098,0.248,6.3356,26.4163,2017
1098,0.288,8.3034,30.9452,2018
1099,0.8505,9.2844,156.3753,2009
1099,0.8598,7.8225,92.9016,2010
1099,0.4664,4.3156,152.2065,2011
1099,0.3721,2.4675,198.7357,2012
1099,0.504,2.9737,237.7073,2013
1099,0.524,3.2949,195.7871,2014
1099,0.5816,3.1264,218.1598,2015
1099,0.6785,3.4508,205.1357,2016
1099,0.61,3.3319,168.5856,2017
1099,0.4905,2.8766,164.0048,2018
1100,0.014,3.4988,176.5999,2009
1100,0.107,10.6768,133.9635,2010
1100,0.159,11.0411,136.2934,2011
1100,0.039,8.638,117.6072,2012
1100,0.291,15.0559,69.2064,2013
1100,0.103,7.1379,125.8753,2014
1100,0.035,4.5981,135.9388,2015
1100,0.38,12.6504,24.521,2016
1100,0.36,8.0327,19.983,2017
1100,0.37,7.0947,39.6138,2018
1103,0.0084,0.6806,101.9548,2009
1103,0.008,0.2055,84.6317,2010
1103,0.067,3.5324,76.8132,2011
1103,0.062,2.9728,85.2128,2012
1103,0.16,7.3188,65.4541,2013
1103,0.11,4.8123,68.0139,2014
1103,0.463,6.6618,66.1819,2015
1103,0.54,6.0808,86.838,2016
1103,0.73,6.6418,113.7462,2017
1103,0.73,5.6698,105.1691,2018
1105,-0.2319,-7.0734,105.8779,2009
1105,0.0379,1.1579,88.4209,2010
1105,0.0595,1.0351,94.683,2011
1105,0.0678,1.1534,125.8523,2012
1105,0.0918,2.3778,100.4808,2013
1105,0.032,0.427,65.177,2014
1105,0.0404,1.4911,54.3954,2015
1105,0.0426,1.4671,49.8599,2016
1105,0.058,1.903,44.9581,2017
1105,0.0419,1.7055,30.421,2018
1106,0.1331,0.0069,300.3916,2009
1106,0.3082,1.3672,375.2106,2010
1106,0.2594,0.9265,299.4478,2011
1106,-0.7607,-2.024,387.4526,2012
1106,0.3795,1.0519,681.5397,2013
1106,-2.2881,-4.1087,1116.3447,2014
1106,0.0896,0.2822,1066.1984,2015
1106,-2.5668,-5.2476,1612.5056,2016
1106,0.1528,0.395,1607.5314,2017
1106,0.0929,0.3828,1406.4291,2018
1107,0.7508,15.6781,88.5183,2009
1107,0.1339,2.2924,95.3717,2010
1107,0.32,5.1221,95.0569,2011
1107,0.64,9.7028,65.998,2012
1107,0.51,7.8678,52.5401,2013
1107,0.52,8.0086,47.0943,2014
1107,-0.55,-8.73,48.672,2015
1107,0.04,0.5535,111.9223,2016
1107,0.51,7.1347,17.3727,2017
1107,0.58,7.1088,39.0278,2018
1108,0.345,6.9279,53.6949,2009
1108,0.3625,6.5301,60.0883,2010
1108,0.1865,3.1987,94.7743,2011
1108,0.3429,4.3965,130.9557,2012
1108,0.3749,4.4237,126.8605,2013
1108,0.4477,5.0559,118.0244,2014
1108,0.4778,5.356,111.7255,2015
1108,0.2454,2.8835,113.1029,2016
1108,0.2489,2.421,120.4448,2017
1108,0.2571,2.0619,116.0446,2018
1109,0.0102,0.4364,7.3903,2009
1109,0.015,0.6328,8.8406,2010
1109,0.0149,0.6213,11.0503,2011
1109,0.0022,0.0932,10.4335,2012
1109,0.0018,0.0752,13.4641,2013
1109,0.01,0.5304,19.7884,2014
1109,0.01,0.4128,22.9121,2015
1109,0.0088,0.3301,24.5552,2016
1109,0.0088,0.3361,18.1139,2017
1109,0.0121,0.4618,24.8583,2018
1110,0.3597,2.4805,164.0612,2009
1110,0.4867,2.5932,178.6328,2010
1110,0.36,3.1562,238.3485,2011
1110,0.3051,2.6419,246.888,2012
1110,0.3262,2.8269,270.3277,2013
1110,0.34,2.6295,297.681,2014
1110,0.44,4.0583,193.7802,2015
1110,1.4516,8.2129,151.7024,2016
1110,0.035,0.8739,182.5426,2017
1110,-1.309,-5.4966,273.3731,2018
1111,0.53,8.3454,85.1095,2009
1111,0.47,6.4498,83.1378,2010
1111,0.68,8.865,62.8215,2011
1111,0.34,4.0112,57.8486,2012
1111,0.51,5.837,45.8927,2013
1111,0.3,3.0978,46.8452,2014
1111,0.27,2.9876,45.6164,2015
1111,0.26,2.7281,42.1201,2016
1111,0.3,3.4064,44.2621,2017
1111,0.31,3.125,41.4324,2018
1113,-0.1878,-6.6664,55.8776,2009
1113,0.0522,2.2828,80.4114,2010
