CompanyCode,EPS,ROA,Dbequrt,LOGTA,year
1076,1.41,8.8836,132.6445,24.31136886,2017
1076,1.01,6.3822,120.4432,24.32873701,2018
1077,0.46,3.839,514.8251,23.09683707,2009
1077,0.7,5.6143,327.9849,22.99175801,2010
1077,1.08,8.6649,183.2133,22.96020714,2011
1077,0.71,7.1337,272.8743,23.41755578,2012
1077,1.08,8.4214,205.2835,23.47805743,2013
1077,0.63,5.1109,230.3497,23.70858652,2014
1077,0.15,2.2949,158.0252,23.71343721,2015
1077,0.22,1.8329,178.1137,23.71269334,2016
1077,0.4,3.5874,174.0014,23.76434733,2017
1077,0.51,3.8451,195.6499,23.91743901,2018
1078,0.67,3.8812,408.209,24.47546072,2009
1078,0.396,3.2555,405.652,24.72260076,2010
1078,0.445,2.9949,469.0006,24.91769272,2011
1078,0.448,2.6412,481.4105,25.05935453,2012
1078,0.454,2.4106,498.1301,25.17557289,2013
1078,0.529,3.1041,378.9035,25.37627578,2014
1078,0.583,2.9513,491.7301,25.5723995,2015
1078,0.686,3.2123,265.5422,25.74205996,2016
1078,0.892,3.4585,331.0326,25.95396621,2017
1078,0.887,2.9422,381.0968,26.10872037,2018
1079,0.1,1.1386,118.6472,22.20522762,2009
1079,0.04,0.5708,183.5202,22.48033052,2010
1079,-0.26,-3.948,208.3181,22.45068556,2011
1079,0.02,0.1759,249.2357,22.5832351,2012
1079,-0.34,-4.8227,282.9708,22.53012608,2013
1079,-0.84,-12.7663,531.6319,22.43954512,2014
1079,0.05,0.3751,110.4838,22.34769602,2015
1079,-0.32,-8.9059,133.1223,22.26193292,2016
1079,0.04,0.2842,94.1431,22.11086482,2017
1079,-0.0546,-2.3509,132.8758,22.25003718,2018
1080,0.29,4.6954,150.563,20.99289396,2009
1080,0.45,6.2501,173.3416,21.11070607,2010
1080,0.27,4.734,143.5373,21.0971576,2011
1080,0.7,12.2272,123.3708,21.16081879,2012
1080,0.67,11.414,72.5854,21.2939341,2013
1080,-0.24,-2.2377,82.5517,21.43932601,2014
1080,0.07,0.998,96.6698,21.46180133,2015
1080,0.28,4.7264,60.6675,22.01993895,2016
1080,0.32,6.2514,43.6615,22.00553652,2017
1080,0.42,7.4073,62.0584,22.14577125,2018
1081,0.2131,6.5895,65.4656,20.8598914,2009
1081,0.231,7.1249,52.2452,20.83474404,2010
1081,0.0194,1.2864,54.6579,20.85967597,2011
1081,0.0263,-0.0458,35.339,20.73385241,2012
1081,-0.1189,-4.3164,31.2511,20.65320861,2013
1081,-0.4245,-15.7612,90.3686,20.79544034,2014
1081,0.0835,1.8378,90.0162,20.8068571,2015
1081,-0.49,-12.2258,120.1105,20.68280467,2016
1081,0.14,3.5165,105.6926,20.65257314,2017
1081,-0.03,-0.9175,117.2258,20.71572751,2018
1082,0.263,4.1175,70.5715,21.58800949,2009
1082,0.111,2.0597,65.8408,21.58758057,2010
1082,0.08,1.6816,63.085,21.59620906,2011
1082,-0.159,-4.0497,78.2103,21.6049513,2012
1082,-0.381,-7.9227,82.8625,21.48733113,2013
1082,0.022,0.5191,105.1003,21.59613532,2014
1082,0.047,1.0465,84.3425,21.50812782,2015
1082,-0.08,-0.6005,197.1144,23.13718317,2016
1082,0.041,0.3851,188.3908,23.11615297,2017
1082,0.089,0.1875,169.7851,23.07726863,2018
1083,-0.19,-6.1434,194.0971,21.57315539,2009
1083,0.01,-0.4078,172.8014,21.49383063,2010
1083,0.42,4.64,126.4404,22.17013731,2011
1083,0.19,2.721,170.0441,22.38284185,2012
1083,0.19,3.0508,166.6412,22.43874928,2013
1083,0.1595,1.2206,110.1841,22.60832221,2014
1083,0.17,3.2332,138.3252,22.76315504,2015
1083,0.27,4.7566,200.6707,23.17108074,2016
1083,0.3,4.0765,162.9281,23.14614186,2017
1083,0.33,3.4054,152.4207,23.17010411,2018
1085,0.0157,0.2384,161.4907,22.25906862,2009
1085,0.2541,2.6246,140.2511,22.24694279,2010
1085,0.22,2.2567,120.745,22.22086039,2011
1085,-0.16,-1.7278,132.9458,22.22363565,2012
1085,-0.49,-4.853,167.9395,22.2279096,2013
1085,0.09,0.9882,106.9277,22.02299505,2014
1085,0.09,0.8638,92.251,21.97917243,2015
1085,0.89,7.3434,109.4324,22.86654221,2016
1085,0.55,6.16,95.1703,22.90892584,2017
1085,0.51,5.2714,72.3973,22.88166889,2018
1086,0.02,1.6173,189.7687,19.32643435,2009
1086,-0.06,-8.3731,250.6188,19.57506327,2010
1086,-0.06,-6.6051,324.6692,19.6408015,2011
1086,0.1,-1.8679,217.8147,19.81313232,2012
1086,0.14,9.6516,214.2665,20.14046778,2013
1086,-0.03,-2.2205,422.398,20.47965403,2014
1086,0.45,12.1186,44.1614,22.0214025,2015
1086,0.37,10.5318,23.8662,22.01147702,2016
1086,0.451,10.9181,42.9091,22.31051573,2017
1086,0.45,8.6787,55.1673,22.4923466,2018
1087,-0.1645,-6.4027,75.7161,20.1386249,2009
1087,0.07,2.3689,29.2784,19.74896467,2010
1087,0.78,5.71,429.175,23.10355802,2011
1087,0.36,3.7349,347.0078,23.09277892,2012
1087,0.34,3.314,330.2483,23.15024953,2013
1087,0.03,0.4363,262.006,23.33957138,2014
1087,0.06,0.5986,259.9904,23.34561185,2015
1087,-0.15,-1.6021,161.3763,22.97648055,2016
1087,0.12,1.1604,368.282,23.59488299,2017
1087,0.31,1.9169,471.0676,23.9031943,2018
1088,0.092,1.206,260.9465,22.44798361,2009
1088,0.074,1.2383,280.674,22.52790245,2010
1088,0.077,1.0468,288.8511,22.64614266,2011
1088,0.042,0.7835,226.3166,22.48183864,2012
1088,0.036,0.9089,169.942,22.30897101,2013
1088,0.034,0.8075,178.8848,22.35667927,2014
1088,0.027,0.5891,245.7568,22.57743599,2015
1088,0.091,1.0476,284.3274,22.70578528,2016
1088,0.09,1.1409,311.361,22.79695571,2017
1088,0.03,0.9687,354.1413,22.81778189,2018
1089,0.48,8.5536,69.8853,21.91961369,2009
1089,0.46,8.0699,97.3515,22.16506126,2010
1089,0.62,8.2569,114.3686,22.54302304,2011
1089,0.82,8.0296,139.3495,22.78521242,2012
1089,0.83,6.8447,106.5501,22.99611363,2013
1089,0.85,5.8126,136.3442,23.22200398,2014
1089,0.52,5.6283,113.8178,23.62203594,2015
1089,0.63,4.846,143.8577,23.99767232,2016
1089,1.53,7.4983,139.0101,24.29014872,2017
1089,-1.81,-5.5377,195.1725,24.29063905,2018
1090,-0.0478,-1.0665,99.2963,21.0422333,2009
1090,0.1099,2.3828,97.268,21.07938569,2010
1090,0.5423,13.2636,16.4407,20.79004675,2011
1090,0.145,3.9918,16.8509,20.84020298,2012
1090,0.1493,3.9229,18.7307,20.8930585,2013
1090,0.1014,2.4315,24.1773,20.95973011,2014
1090,0.0832,2.0403,20.2961,20.95286191,2015
1090,0.0894,2.0583,34.517,21.09065007,2016
1090,0.1751,3.759,26.9251,21.0732992,2017
1090,0.1076,2.1737,11.4815,21.40375061,2018
1091,0.0968,3.5407,237.2667,20.98487622,2009
1091,0.5226,14.711,194.7517,21.23786844,2010
1091,0.4386,9.3494,190.8372,21.43684638,2011
1091,0.309,7.7717,130.7058,21.3392357,2012
1091,0.5457,10.2476,183.2017,21.69282032,2013
1091,0.6472,11.0915,282.9238,22.1686054,2014
1091,0.4884,6.5741,256.7964,22.18261838,2015
1091,0.3721,5.1701,267.3983,22.27823504,2016
1091,0.4441,5.454,290.4935,22.41552719,2017
1091,0.4685,5.0948,307.8418,22.4912098,2018
1092,0.14,2.9788,64.456,21.7369721,2009
1092,0.1,2.3362,75.9797,21.80635156,2010
1092,0.13,2.7181,85.2305,21.84294286,2011
1092,0.07,1.4598,67.5256,21.74875183,2012
1092,0.06,1.3672,83.8718,21.86589005,2013
1092,0.0631,1.2412,96.5511,21.95619345,2014
1092,0.0161,0.2967,103.1397,21.99509526,2015
1092,-0.127,-2.3549,103.3153,21.94809256,2016
1092,0.0221,0.4082,112.7942,22.00215306,2017
1092,0.0227,0.4114,108.3807,21.98565738,2018
1095,0.548,8.1984,33.2414,22.31703482,2009
1095,0.659,9.0494,38.9318,22.42606989,2010
1095,0.336,10.2136,72.446,22.71522763,2011
1095,0.438,10.338,102.1291,22.99207971,2012
1095,0.503,9.8861,81.1981,23.20080374,2013
1095,0.582,10.0888,77.9172,23.28410491,2014
1095,0.645,10.7386,48.7428,23.38630955,2015
1095,0.68,9.9502,63.9212,23.56000301,2016
1095,0.742,9.7389,65.8266,23.65222418,2017
1095,0.827,9.302,64.2298,23.74259659,2018
1096,0.0345,1.3412,274.1293,21.13500291,2009
1096,0.1631,3.618,469.2124,21.6725334,2010
1096,0.2222,2.7248,449.4959,21.87415158,2011
1096,0.455,3.9609,570.7115,22.31930932,2012
1096,0.4461,3.1094,479.7362,22.36718669,2013
1096,0.2802,1.7378,515.6327,22.53605288,2014
1096,0.2308,3.8164,246.663,22.98200738,2015
1096,0.1858,2.6475,210.4436,22.95917459,2016
1096,0.1712,2.1128,289.6404,23.25063952,2017
1096,-1.2729,-14.3227,669.1903,23.1635418,2018
1098,0.484,7.7979,50.4059,21.0890513,2009
1098,0.241,5.307,69.5604,21.26556201,2010
1098,0.221,3.7479,120.9117,21.56467091,2011
1098,0.136,2.3239,73.3834,21.34357262,2012
1098,0.204,4.2896,35.2485,21.1526662,2013
1098,0.159,3.692,28.6561,21.1342032,2014
1098,0.08,1.9193,24.0451,21.10914368,2015
1098,-0.376,-9.1167,29.7927,21.03105838,2016
1098,0.248,6.3356,26.4163,21.06664222,2017
1098,0.288,8.3034,30.9452,21.1833872,2018
1099,0.8505,9.2844,156.3753,23.66073042,2009
1099,0.8598,7.8225,92.9016,23.88518019,2010
1099,0.4664,4.3156,152.2065,24.23816286,2011
1099,0.3721,2.4675,198.7357,24.46200069,2012
1099,0.504,2.9737,237.7073,24.6484061,2013
1099,0.524,3.2949,195.7871,24.80573536,2014
1099,0.5816,3.1264,218.1598,24.97546,2015
1099,0.6785,3.4508,205.1357,25.04066475,2016
1099,0.61,3.3319,168.5856,25.14928265,2017
1099,0.4905,2.8766,164.0048,25.25149649,2018
1100,0.014,3.4988,176.5999,20.79803574,2009
1100,0.107,10.6768,133.9635,20.76822228,2010
1100,0.159,11.0411,136.2934,20.9084985,2011
1100,0.039,8.638,117.6072,20.94456059,2012
1100,0.291,15.0559,69.2064,20.98839474,2013
1100,0.103,7.1379,125.8753,21.02338106,2014
